"Name","Address","URL","Email","Phone"
"Lake Hiawatha Recreation Center","2701 E 44th St. Minneapolis, MN 55406","https://www.minneapolisparks.org/parks__destinations/recreation_centers/lake_hiawatha_recreation_center/","lakehiawatha@minneapolisparks.org","612-370-4930"
"Lake Nokomis Community Center","2401 E Minnehaha Parkway Minneapolis, MN 55417","https://www.minneapolisparks.org/parks__destinations/recreation_centers/lake_nokomis_community_center/","nokomis@minneapolisparks.org","612-370-4923"
"Linden Hills Recreation Center","3100 W 43rd St. Minneapolis, MN 55410","https://www.minneapolisparks.org/parks__destinations/recreation_centers/linden_hills_recreation_center/","lindenhills@minneapolisparks.org","612-370-4913"
"Logan Recreation Center","690 13th Ave. NE Minneapolis, MN 55413","https://www.minneapolisparks.org/parks__destinations/recreation_centers/logan_recreation_center/","logan@minneapolisparks.org","612-370-4927"
"Longfellow Recreation Center","3435 36th Ave. S Minneapolis, MN 55406","https://www.minneapolisparks.org/parks__destinations/recreation_centers/longfellow_recreation_center/","longfellow@minneapolisparks.org","612-370-4957"
"Loring Community Arts Center","1382 Willow St. Minneapolis, MN 55403","https://www.minneapolisparks.org/parks__destinations/recreation_centers/loring_community_arts_center/","loring@minneapolisparks.org","612-370-4929"
"Luxton Recreation Center","112 Williams Ave. SE Minneapolis, MN 55414","https://www.minneapolisparks.org/parks__destinations/recreation_centers/luxton_recreation_center/","luxton@minneapolisparks.org","612-370-4925"
"Lyndale Farmstead Recreation Center","3900 Bryant Ave. S Minneapolis, MN 55409","https://www.minneapolisparks.org/parks__destinations/recreation_centers/lyndale_farmstead_recreation_center/","lyndalefarmstead@minneapolisparks.org","612-370-4948"
"Lynnhurst Recreation Center","1345 W Minnehaha Parkway Minneapolis, MN 55419","https://www.minneapolisparks.org/parks__destinations/recreation_centers/lynnhurst_recreation_center/","lynnhurst@minneapolisparks.org","612-370-4914"
"Matthews Recreation Center","2313 S 28th Ave. Minneapolis, MN 55406","https://www.minneapolisparks.org/parks__destinations/recreation_centers/matthews_recreation_center/","matthews@minneapolisparks.org","612-370-4950"
"McRae Recreation Center","906 E 47th St. Minneapolis, MN 55407","https://www.minneapolisparks.org/parks__destinations/recreation_centers/mcrae_recreation_center/","mcrae@minneapolisparks.org","612-370-4909"
"Morris Recreation Center","5531 39th Ave. S Minneapolis, MN 55417","https://www.minneapolisparks.org/parks__destinations/recreation_centers/morris_recreation_center/","morris@minneapolisparks.org","612-370-4934"
"North Commons Recreation Center","1801 James Ave. N Minneapolis, MN 55411","https://www.minneapolisparks.org/parks__destinations/recreation_centers/north_commons_recreation_center/","northcommons@minneapolisparks.org","612-370-4921"
"Northeast Ice Arena","1306 Central Ave. NE Minneapolis, MN 55413","https://www.minneapolisparks.org/parks__destinations/parks__lakes/northeast_ice_arena/","info@minneapolisparks.org","612-370-3920"
"Painter Recreation Center","620 W 34th St. Minneapolis, MN 55408","https://www.minneapolisparks.org/parks__destinations/recreation_centers/painter_recreation_center/","painter@minneapolisparks.org","612-370-4911"
"Pearl Recreation Center","414 E Diamond Lake Road Minneapolis, MN 55419","https://www.minneapolisparks.org/parks__destinations/recreation_centers/pearl_recreation_center/","pearl@minneapolisparks.org","612-370-4906"
"Peavey Recreation Center","730 E 22nd St. Minneapolis, MN 55404","https://www.minneapolisparks.org/parks__destinations/recreation_centers/peavey_recreation_center/","peavey@minneapolisparks.org","612-370-4967"
"Pershing Recreation Center","3523 W 48th St. Minneapolis, MN 55410","https://www.minneapolisparks.org/parks__destinations/recreation_centers/pershing_recreation_center/","pershing@minneapolisparks.org","612-370-4928"
"Phelps Recreation Center","701 E 39th St. Minneapolis, MN 55407","https://www.minneapolisparks.org/parks__destinations/recreation_centers/phelps_recreation_center/","Phone: 612-370-4954Fax: 612-236-4005Email: phelps@minneapolisparks.org",NA
"Phillips Community Center","2323 11th Ave. S Minneapolis, MN 55404","https://www.minneapolisparks.org/parks__destinations/recreation_centers/phillips_community_center/","phillips@minneapolisparks.org","612-370-4946"
"Powderhorn Recreation Center","3400 15th Ave. S Minneapolis, MN 55407","https://www.minneapolisparks.org/parks__destinations/recreation_centers/powderhorn_recreation_center/","powderhorn@minneapolisparks.org","612-370-4960"
"Rev. Dr. Martin Luther King Jr. Recreation Center","4055 Nicollet Ave. S Minneapolis, MN 55409","https://www.minneapolisparks.org/parks__destinations/recreation_centers/rev_dr_martin_luther_king_jr_recreation_center/","king@minneapolisparks.org","612-370-4908"
"Sibley Recreation Center","1900 E 40th St. Minneapolis, MN 55407","https://www.minneapolisparks.org/parks__destinations/recreation_centers/sibley_recreation_center/","sibley@minneapolisparks.org","612-370-4954"
"Stewart Recreation Center","2700 S 12th Ave. Minneapolis, MN 55407","https://www.minneapolisparks.org/parks__destinations/recreation_centers/stewart_recreation_center/","stewart@minneapolisparks.org","612-370-4932"
"Theodore Wirth Golf Club","1301 Theodore Wirth Pkwy. Minneapolis, MN 55422","https://www.minneapolisparks.org/golf/courses/theodore_wirth_golf_club/","wirthgolf@minneapolisparks.org Facebook: Like Us Twitter: Follow Us",NA
"Van Cleve Recreation Center","901 15th Ave. SE Minneapolis, MN 55414","https://www.minneapolisparks.org/parks__destinations/recreation_centers/van_cleve_recreation_center/","vancleve@minneapolisparks.org","612-370-4926"
"Waite Recreation Center","1810 34th Ave. NE Minneapolis, MN 55418","https://www.minneapolisparks.org/parks__destinations/recreation_centers/waite_recreation_center/","waite@minneapolisparks.org","612-370-4959"
"Webber Community Center","4400 N Dupont Ave. Minneapolis, MN 55412","https://www.minneapolisparks.org/parks__destinations/recreation_centers/webber_community_center/","webber@minneapolisparks.org","612-370-4916"
"Whittier Recreation Center","425 W 26th St. Minneapolis, MN 55405","https://www.minneapolisparks.org/parks__destinations/recreation_centers/whittier_recreation_center/","whittier@minneapolisparks.org","612-370-4966"
"Windom Northeast Recreation Center","2251 NE Hayes St.  Minneapolis, MN 55418","https://www.minneapolisparks.org/parks__destinations/recreation_centers/windom_northeast_recreation_center/","windom@minneapolisparks.org","612-370-4905"
"Windom South Recreation Center","5843 Wentworth Ave. Minneapolis, MN 55419","https://www.minneapolisparks.org/parks__destinations/recreation_centers/windom_south_recreation_center/","windomsouth@minneapolisparks.org","612-370-4980"
