"name","address","city","state","zip","country","hours","google_url","phone","website","place_id"
"Metropolitan Library Services Agency","1619 W Dayton Ave","St Paul","MN",55104,"US","","https://maps.google.com/?cid=11045526789154403543","651-645-5731","http://www.melsa.org/","ChIJc6kEXQUq9ocR1_Sb0BeYSZk"
"Golden Valley Library","830 Winnetka Ave N","Minneapolis","MN",55427,"US","<ul><li>Monday: 9:00 AM – 8:00 PM</li><li>Tuesday: 9:00 AM – 8:00 PM</li><li>Wednesday: 9:00 AM – 8:00 PM</li><li>Thursday: 9:00 AM – 5:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=2004878500720872371","612-543-6375","http://www.hclib.org/about/locations","ChIJYQhN71U0s1IRswtJxV_C0hs"
"Rum River Library","4201 6th Ave","Anoka","MN",55303,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 6:00 PM</li><li>Friday: 12:00 – 6:00 PM</li><li>Saturday: 10:00 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=12043760567495118507","763-576-4695","http://www.anokacountylibrary.org/","ChIJU_OZpWI-s1IRq05n8WwIJKc"
"Long Lake Library","1865 Wayzata Blvd","Long Lake","MN",55356,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: Closed</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: Closed</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: Closed</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=12927822474307464272","612-543-6425","http://www.hclib.org/longlake","ChIJFRwFE5xNs1IRUGxovAvaaLM"
"Music Library","2106 S 4th St","Minneapolis","MN",55455,"US","","https://maps.google.com/?cid=10355113104247114809","612-624-5890","https://www.lib.umn.edu/music","ChIJC20C-0Ats1IROUykK4HAtI8"
"ONECCO","7509 Boone Ave N","Brooklyn Park","MN",55428,"US","<ul><li>Monday: 8:00 AM – 4:30 PM</li><li>Tuesday: 8:00 AM – 4:30 PM</li><li>Wednesday: 8:00 AM – 4:30 PM</li><li>Thursday: 8:00 AM – 4:30 PM</li><li>Friday: 8:00 AM – 4:30 PM</li><li>Saturday: 8:00 AM – 4:30 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=15238805666909654011","612-460-1226","","ChIJdy8yTng3s1IR-wtc8QMde9M"
"Riverview Library","1 George St E","St Paul","MN",55107,"US","<ul><li>Monday: 12:00 – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 12:00 – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 11:30 AM – 5:00 PM</li><li>Sunday: Closed</li></ul>","https://maps.google.com/?cid=17875518875163532309","651-292-6626","http://www.sppl.org/about/locations/riverview","ChIJ78WD0CTV94cRFZzpWbWZEvg"
"Wentworth Library","199 Wentworth Ave E","St Paul","MN",55118,"US","<ul><li>Monday: 10:00 AM – 8:30 PM</li><li>Tuesday: 10:00 AM – 8:30 PM</li><li>Wednesday: 10:00 AM – 8:30 PM</li><li>Thursday: 10:00 AM – 8:30 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 10:00 AM – 5:30 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=11399986499509335482","651-554-6800","https://www.co.dakota.mn.us/libraries/Pages/default.aspx","ChIJlzaaeJbU94cRurWAU1LjNJ4"
"Eureka Documentation System","12920 Charlston Ct","Rosemount","MN",55068,"US","","https://maps.google.com/?cid=628798009912994201","651-423-3672","","ChIJJ3LPFAUz9ocRmSlWYHXwuQg"
"Minnesota History Center","345 W Kellogg Blvd","St Paul","MN",55102,"US","<ul><li>Monday: Closed</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 10:00 AM – 5:00 PM</li><li>Thursday: 10:00 AM – 5:00 PM</li><li>Friday: 10:00 AM – 5:00 PM</li><li>Saturday: 10:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=9112120486777857345","651-259-3000","http://www.minnesotahistorycenter.org/","ChIJN-BrLq4q9ocRQSX0_E3BdH4"
"Park Grove Library","7900 Hemingway Ave S","Cottage Grove","MN",55016,"US","<ul><li>Monday: 9:30 AM – 8:00 PM</li><li>Tuesday: 9:30 AM – 8:00 PM</li><li>Wednesday: 9:30 AM – 8:00 PM</li><li>Thursday: 9:30 AM – 8:00 PM</li><li>Friday: 9:30 AM – 5:00 PM</li><li>Saturday: 9:30 AM – 5:00 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=17832762682331868562","651-459-2040","http://www.co.washington.mn.us/Facilities/Facility/Details/4","ChIJl4YM62vQ94cRkq07dC2zevc"
"Arlington Hills Library","1200 Payne Ave","St Paul","MN",55130,"US","<ul><li>Monday: 10:00 AM – 8:00 PM</li><li>Tuesday: 10:00 AM – 8:00 PM</li><li>Wednesday: 10:00 AM – 8:00 PM</li><li>Thursday: 10:00 AM – 8:00 PM</li><li>Friday: 10:00 AM – 5:30 PM</li><li>Saturday: 10:00 AM – 5:30 PM</li><li>Sunday: 1:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=8706320448907727223","651-632-3870","http://www.sppl.org/about/locations/arlington-hills","ChIJeaT7HD3VslIRd1Hd-VEQ03g"
"School of Law Library","1536 Hewitt Ave","St Paul","MN",55104,"US","<ul><li>Monday: 7:30 AM – 10:00 PM</li><li>Tuesday: 7:30 AM – 10:00 PM</li><li>Wednesday: 7:30 AM – 10:00 PM</li><li>Thursday: 7:30 AM – 10:00 PM</li><li>Friday: 7:30 AM – 6:00 PM</li><li>Saturday: 9:00 AM – 6:00 PM</li><li>Sunday: 9:00 AM – 10:00 PM</li></ul>","https://maps.google.com/?cid=13179396193092266064","651-523-2125","http://lawlibrary.hamline.edu/","ChIJo1fau0Urs1IRUGhmmwKf5rY"
"St. Louis Park Library","3240 Library Ln","Minneapolis","MN",55426,"US","<ul><li>Monday: 9:00 AM – 8:00 PM</li><li>Tuesday: 9:00 AM – 8:00 PM</li><li>Wednesday: 9:00 AM – 5:00 PM</li><li>Thursday: 9:00 AM – 8:00 PM</li><li>Friday: 9:00 AM – 5:00 PM</li><li>Saturday: 9:00 AM – 5:00 PM</li><li>Sunday: 12:00 – 5:00 PM</li></ul>","https://maps.google.com/?cid=5178475566978641424","612-543-6125","http://www.hclib.org/stlouispark","ChIJT3VQyIQg9ocREC7NZxek3Uc"
"Taylors Falls Public Library","473 Bench St","Taylors Falls","MN",55084,"US","","https://maps.google.com/?cid=10592845586116951782","651-465-6905","http://www.taylorsfalls.govoffice.com/","ChIJc6TmtaOaslIR5r4Q8e9YAZM"
"Minneapolis Campus Library","1000 Lasalle Ave","Minneapolis","MN",55403,"US","","https://maps.google.com/?cid=7615389705846554042","651-962-4645","","ChIJK4DzLpQys1IRun0m45ZMr2k"
"Lundquist Library","Bethel Dr","Arden Hills","MN",55112,"US","","https://maps.google.com/?cid=10106188475195427620","","","ChIJ38K0Qxops1IRJIsrkd9kQIw"
