"location","location_url","phone","street","city","zipcode","address_url","Mon","Tue","Wed","Thu","Fri","Sat","Sun","lat","lon"
"Minnetonka Library","http://www.hclib.org/about/locations/minnetonka","612-543-5725","17524 Excelsior Blvd.","Minnetonka",55345,"https://www.google.com/maps/place/Minnetonka+Library/@44.908612,-93.502665,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x2ade34dae5e3605e","12 - 8","12 - 8","9 - 5","9 - 5","9 - 5","9 - 5","—",44.908612,-93.502665
"Nokomis Library","http://www.hclib.org/about/locations/nokomis","612-543-6800","5100 34th Ave. S.","Minneapolis",55417,"https://www.google.com/maps/place/Nokomis+Library/@44.910712,-93.223059,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xf229121720d59fb5","12 - 8","9 - 5","9 - 5","12 - 8","9 - 5","9 - 5","—",44.910712,-93.223059
"North Regional Library","http://www.hclib.org/about/locations/north-regional","612-543-8450","1315 Lowry Ave. N.","Minneapolis",55411,"https://www.google.com/maps/place/North+Regional+Library/@45.012748,-93.296195,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xe397d33ae54b56df","9 - 8","9 - 8","9 - 5","9 - 8","9 - 5","9 - 5","12 - 5",45.012748,-93.296195
"Northeast Library","http://www.hclib.org/about/locations/northeast","612-543-6775","2200 Central Ave. N.E.","Minneapolis",55418,"https://www.google.com/maps/place/Northeast+Library/@45.010155,-93.247824,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x5f8ec801b3ce80b5","9 - 5","9 - 5","12 - 8","12 - 8","9 - 5","9 - 5","—",45.010155,-93.247824
"Osseo Library","http://www.hclib.org/about/locations/osseo","612-543-5750","415 Central Ave.","Osseo",55369,"https://www.google.com/maps/place/Osseo+Library/@45.12072,-93.402463,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xff785558b8f3213a","12 - 8","9 - 5","—","9 - 5","—","—","—",45.12072,-93.402463
"Oxboro Library","http://www.hclib.org/about/locations/oxboro","612-543-5775","8801 Portland Ave. S.","Bloomington",55420,"https://www.google.com/maps/place/Oxboro+Library/@44.844014,-93.267279,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x47af1fbf7842ce9a","9 - 5","12 - 8","12 - 8","9 - 5","9 - 5","9 - 5","—",44.844014,-93.267279
"Penn Lake Library","http://www.hclib.org/about/locations/penn-lake","612-543-5800","8800 Penn Ave. S.","Bloomington",55431,"https://www.google.com/maps/place/Penn+Lake+Library/@44.844033,-93.309352,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xa1002f22429e758d","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.844033,-93.309352
"Pierre Bottineau Library","http://www.hclib.org/about/locations/pierre-bottineau","612-543-6850","55 Broadway St. N.E.","Minneapolis",55413,"https://www.google.com/maps/place/Pierre+Bottineau+Library/@44.998982,-93.270204,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x36f5f0f446cf8c23","12 - 8","9 - 5","9 - 5","12 - 8","9 - 5","9 - 5","—",44.998982,-93.270204
"Plymouth Library","http://www.hclib.org/about/locations/plymouth","612-543-5825","15700 36th Ave. N.","Plymouth",55446,"https://www.google.com/maps/place/Plymouth+Library/@45.022686,-93.481204,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xd41d6aa4d5bd9c8","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",45.022686,-93.481204
"Ridgedale Library","http://www.hclib.org/about/locations/ridgedale","612-543-8800","12601 Ridgedale Dr.","Minnetonka",55305,"https://www.google.com/maps/place/Ridgedale+Library/@44.964785,-93.440138,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x9af75e3747c09473","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",44.964785,-93.440138
"Rockford Road Library","http://www.hclib.org/about/locations/rockford-road","612-543-5875","6401 42nd Ave. N.","Crystal",55427,"https://www.google.com/maps/place/Rockford+Road+Library/@45.032112,-93.361824,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x73b6ed0b0722169e","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",45.032112,-93.361824
"Rogers Library","http://www.hclib.org/about/locations/rogers","612-543-6050","21300 John Milless Dr.","Rogers",55374,"https://www.google.com/maps/place/Rogers+Library/@45.191507,-93.54856,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb0d662a327b183e1","12 - 8","9 - 5","9 - 5","12 - 8","9 - 5","9 - 5","—",45.191507,-93.54856
"Roosevelt Library","http://www.hclib.org/about/locations/roosevelt","612-543-6700","4026 28th Ave. S.","Minneapolis",55406,"https://www.google.com/maps/place/Roosevelt+Library/@44.92968,-93.23247,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb8640bae22e960a2","—","12 - 8","—","12 - 8","—","9 - 5","—",44.92968,-93.23247
"St. Anthony Library","http://www.hclib.org/about/locations/st-anthony","612-543-6075","2941 Pentagon Dr. N.E.","St. Anthony",55418,"https://www.google.com/maps/place/St.+Anthony+Library/@45.016018,-93.219051,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x72b56be2d033ff8e?hl=en","12 - 8","12 - 8","9 - 5","9 - 5","9 - 5","9 - 5","—",45.016018,-93.219051
"St. Bonifacius Library","http://www.hclib.org/about/locations/st-bonifacius","612-543-6100","8624 Kennedy Memorial Dr.","St. Bonifacius",55375,"https://www.google.com/maps/place/St.+Bonifacius+Library/@44.904149,-93.743416,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xa111347560ff7bd0","12 - 8","—","12 - 8","—","—","9 - 5","—",44.904149,-93.743416
"St. Louis Park Library","http://www.hclib.org/about/locations/st-louis-park","612-543-6125","3240 Library Lane","St. Louis Park",55426,"https://www.google.com/maps/place/St.+Louis+Park+Library/@44.944427,-93.369704,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x47dda41767cd2e10","9 - 8","9 - 8","9 - 5","9 - 8","9 - 5","9 - 5","12 - 5",44.944427,-93.369704
"Southdale Library","http://www.hclib.org/about/locations/southdale","612-543-5900","7001 York Ave. S.","Edina",55435,"https://www.google.com/maps/place/Southdale+Library/@44.875536,-93.319706,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x7cb5a627eabeba4f","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",44.875536,-93.319706
"Southeast Library","http://www.hclib.org/about/locations/southeast","612-543-6725","1222 4th St. S.E.","Minneapolis",55414,"https://www.google.com/maps/place/Southeast+Library/@44.981033,-93.237657,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x923aae0ffb6a3f0b","—","9 - 5","—","12 - 8","—","9 - 5","—",44.981033,-93.237657
"Sumner Library","http://www.hclib.org/about/locations/sumner","612-543-6875","611 Van White Memorial Blvd.","Minneapolis",55411,"https://www.google.com/maps/place/Sumner+Library/@44.984862,-93.294535,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xc7e802540e28778","12 - 8","9 - 5","9 - 5","12 - 8","9 - 5","9 - 5","—",44.984862,-93.294535
"Walker Library","http://www.hclib.org/about/locations/walker","612-543-8400","2880 Hennepin Ave. ","Minneapolis",55408,"https://www.google.com/maps/place/Walker+Library/@44.949598,-93.298661,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb15d0c23d79c51af","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","9 - 5","—",44.949598,-93.298661
"Washburn Library","http://www.hclib.org/about/locations/washburn","612-543-8375","5244 Lyndale Ave. S.","Minneapolis ",55419,"https://www.google.com/maps/place/Washburn+Library/@44.907323,-93.288684,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x4a07b84d717df622","9 - 5","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","—",44.907323,-93.288684
"Wayzata Library","http://www.hclib.org/about/locations/wayzata","612-543-6150","620 Rice St.","Wayzata",55391,"https://www.google.com/maps/place/Wayzata+Library/@44.971373,-93.511663,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x809e21866400f1a","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","9 - 5","—",44.971373,-93.511663
"Webber Park Library","http://www.hclib.org/about/locations/webber-park","612-543-6750","4203 Webber Pkwy.","Minneapolis ",55412,"https://www.google.com/maps/place/Webber+Park+Library/@45.033572,-93.290986,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x8744fcfeee538e0e","—","12 - 8","—","12 - 8","—","9 - 5","—",45.033572,-93.290986
"Westonka Library","http://www.hclib.org/about/locations/westonka","612-543-6175","2079 Commerce Blvd.","Mound",55364,"https://www.google.com/maps/place/Westonka+Library/@44.940627,-93.666939,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xfe9c707f5272a6d4","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","9 - 5","—",44.940627,-93.666939
"Augsburg Park Library","http://www.hclib.org/about/locations/augsburg-park","612-543-6200","7100 Nicollet Ave.","Richfield",55423,"https://www.google.com/maps/place/Augsburg+Park+Library/@44.873975,-93.278817,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x471e4795be141c7c","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.873975,-93.278817
"Brookdale Library","http://www.hclib.org/about/locations/brookdale","612-543-5600","6125 Shingle Creek Pkwy.","Brooklyn Center",55430,"https://www.google.com/maps/place/Brookdale+Library/@45.065871,-93.310626,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x473a120d887093cd","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",45.065871,-93.310626
"Brooklyn Park Library","http://www.hclib.org/about/locations/brooklyn-park","612-543-6225","8600 Zane Ave. N.","Brooklyn Park",55443,"https://www.google.com/maps/place/Brooklyn+Park+Library/@45.111031,-93.355819,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x6ecaa0d27bc8239d","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",45.111031,-93.355819
"Champlin Library","http://www.hclib.org/about/locations/champlin","612-543-6250","12154 Ensign Ave. N.","Champlin",55316,"https://www.google.com/maps/place/Champlin+Library/@45.174871,-93.394151,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xc1f73b57800a2db9","9 - 5","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","—",45.174871,-93.394151
"East Lake Library","http://www.hclib.org/about/locations/east-lake","612-543-8425","2727 E. Lake St.","Minneapolis",55406,"https://www.google.com/maps/place/East+Lake+Library/@44.947935,-93.231982,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xf42ac337ccefaad6","9 - 8","9 - 8","9 - 5","9 - 8","9 - 5","9 - 5","12 - 5",44.947935,-93.231982
"Eden Prairie Library","http://www.hclib.org/about/locations/eden-prairie","612-543-6275","565 Prairie Center Dr.","Eden Prairie",55344,"https://www.google.com/maps/place/Eden+Prairie+Library/@44.850413,-93.427876,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x4ddade28146b6607","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",44.850413,-93.427876
"Edina Library","http://www.hclib.org/about/locations/edina","612-543-6325","5280 Grandview Square","Edina",55436,"https://www.google.com/maps/place/Edina+Library/@44.908081,-93.356102,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x7aa9dbc4734764ec","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.908081,-93.356102
"Excelsior Library","http://www.hclib.org/about/locations/excelsior","612-543-6350","337 Water St.","Excelsior",55331,"https://www.google.com/maps/place/Excelsior+Library/@44.902719,-93.567992,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x1bb9ef3c6a24b14a","9 - 5","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","—",44.902719,-93.567992
"Franklin Library","http://www.hclib.org/about/locations/franklin","612-543-6925","1314 E. Franklin Ave.","Minneapolis",55404,"https://www.google.com/maps/place/Franklin+Library/@44.962984,-93.255847,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x380f3d6becbe4698","9 - 5","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","12 - 5",44.962984,-93.255847
"Golden Valley Library","http://www.hclib.org/about/locations/golden-valley","612-543-6375","830 Winnetka Ave. N.","Golden Valley",55427,"https://www.google.com/maps/place/Golden+Valley+Library/@44.988204,-93.379358,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x1bd2c25fc5490bb3","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.988204,-93.379358
"Hopkins Library","http://www.hclib.org/about/locations/hopkins","612-543-6400","22 11th Ave. N.","Hopkins",55343,"https://www.google.com/maps/place/Hopkins+Library/@44.925582,-93.414097,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x1ef03c0fd5417bf7","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.925582,-93.414097
"Hosmer Library","http://www.hclib.org/about/locations/hosmer","612-543-6900","347 E. 36th St.","Minneapolis",55408,"https://www.google.com/maps/place/Hosmer+Library/@44.937507,-93.270579,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x9c1e2d6324e2d2ec","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.937507,-93.270579
"Linden Hills Library","http://www.hclib.org/about/locations/linden-hills","612-543-6825","2900 W. 43rd St.","Minneapolis",55410,"https://www.google.com/maps/place/Linden+Hills+Library/@44.925029,-93.316511,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x70cef46aa60e69b0","9 - 5","12 - 8","9 - 5","12 - 8","9 - 5","9 - 5","—",44.925029,-93.316511
"Long Lake Library","http://www.hclib.org/about/locations/long-lake","612-543-6425","1865 Wayzata Blvd. W.","Long Lake",55356,"https://www.google.com/maps/place/Long+Lake+Library/@44.985628,-93.572292,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb368da0bbc686c50","12 - 8","—","9 - 5","—","9 - 5","—","—",44.985628,-93.572292
"Maple Grove Library","http://www.hclib.org/about/locations/maple-grove","612-543-6450","8001 Main St. N.","Maple Grove",55369,"https://www.google.com/maps/place/Maple+Grove+Library/@45.101962,-93.441235,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x21ad95eb874ac497","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",45.101962,-93.441235
"Maple Plain Library","http://www.hclib.org/about/locations/maple-plain","612-543-5700","5184 Main St. E.","Maple Plain",55359,"https://www.google.com/maps/place/Maple+Plain+Library/@45.007768,-93.655487,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x73ca48a038c6bff2","—","12 - 8","—","9 - 5","—","9 - 5","—",45.007768,-93.655487
"Minneapolis Central Library","http://www.hclib.org/about/locations/minneapolis-central","612-543-8000","300 Nicollet Mall","Minneapolis",55401,"https://www.google.com/maps/place/Minneapolis+Central+Library/@44.980502,-93.270019,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x78ec6689fd0eb0d8?hl=en","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",44.980502,-93.270019
"Minnetonka Library","http://www.hclib.org/about/locations/minnetonka","612-543-5725","17524 Excelsior Blvd.","Minnetonka",55345,"https://www.google.com/maps/place/Minnetonka+Library/@44.908612,-93.502665,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x2ade34dae5e3605e","12 - 8","12 - 8","9 - 5","9 - 5","9 - 5","9 - 5","—",44.908612,-93.502665
"Nokomis Library","http://www.hclib.org/about/locations/nokomis","612-543-6800","5100 34th Ave. S.","Minneapolis",55417,"https://www.google.com/maps/place/Nokomis+Library/@44.910712,-93.223059,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xf229121720d59fb5","12 - 8","9 - 5","9 - 5","12 - 8","9 - 5","9 - 5","—",44.910712,-93.223059
"North Regional Library","http://www.hclib.org/about/locations/north-regional","612-543-8450","1315 Lowry Ave. N.","Minneapolis",55411,"https://www.google.com/maps/place/North+Regional+Library/@45.012748,-93.296195,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xe397d33ae54b56df","9 - 8","9 - 8","9 - 5","9 - 8","9 - 5","9 - 5","12 - 5",45.012748,-93.296195
"Northeast Library","http://www.hclib.org/about/locations/northeast","612-543-6775","2200 Central Ave. N.E.","Minneapolis",55418,"https://www.google.com/maps/place/Northeast+Library/@45.010155,-93.247824,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x5f8ec801b3ce80b5","9 - 5","9 - 5","12 - 8","12 - 8","9 - 5","9 - 5","—",45.010155,-93.247824
"Osseo Library","http://www.hclib.org/about/locations/osseo","612-543-5750","415 Central Ave.","Osseo",55369,"https://www.google.com/maps/place/Osseo+Library/@45.12072,-93.402463,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xff785558b8f3213a","12 - 8","9 - 5","—","9 - 5","—","—","—",45.12072,-93.402463
"Oxboro Library","http://www.hclib.org/about/locations/oxboro","612-543-5775","8801 Portland Ave. S.","Bloomington",55420,"https://www.google.com/maps/place/Oxboro+Library/@44.844014,-93.267279,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x47af1fbf7842ce9a","9 - 5","12 - 8","12 - 8","9 - 5","9 - 5","9 - 5","—",44.844014,-93.267279
"Penn Lake Library","http://www.hclib.org/about/locations/penn-lake","612-543-5800","8800 Penn Ave. S.","Bloomington",55431,"https://www.google.com/maps/place/Penn+Lake+Library/@44.844033,-93.309352,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xa1002f22429e758d","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",44.844033,-93.309352
"Pierre Bottineau Library","http://www.hclib.org/about/locations/pierre-bottineau","612-543-6850","55 Broadway St. N.E.","Minneapolis",55413,"https://www.google.com/maps/place/Pierre+Bottineau+Library/@44.998982,-93.270204,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x36f5f0f446cf8c23","12 - 8","9 - 5","9 - 5","12 - 8","9 - 5","9 - 5","—",44.998982,-93.270204
"Plymouth Library","http://www.hclib.org/about/locations/plymouth","612-543-5825","15700 36th Ave. N.","Plymouth",55446,"https://www.google.com/maps/place/Plymouth+Library/@45.022686,-93.481204,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xd41d6aa4d5bd9c8","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",45.022686,-93.481204
"Ridgedale Library","http://www.hclib.org/about/locations/ridgedale","612-543-8800","12601 Ridgedale Dr.","Minnetonka",55305,"https://www.google.com/maps/place/Ridgedale+Library/@44.964785,-93.440138,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x9af75e3747c09473","9 - 9","9 - 9","9 - 9","9 - 9","9 - 5","9 - 5","12 - 5",44.964785,-93.440138
"Rockford Road Library","http://www.hclib.org/about/locations/rockford-road","612-543-5875","6401 42nd Ave. N.","Crystal",55427,"https://www.google.com/maps/place/Rockford+Road+Library/@45.032112,-93.361824,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x73b6ed0b0722169e","9 - 8","9 - 8","9 - 8","9 - 5","9 - 5","9 - 5","12 - 5",45.032112,-93.361824
"Rogers Library","http://www.hclib.org/about/locations/rogers","612-543-6050","21300 John Milless Dr.","Rogers",55374,"https://www.google.com/maps/place/Rogers+Library/@45.191507,-93.54856,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb0d662a327b183e1","12 - 8","9 - 5","9 - 5","12 - 8","9 - 5","9 - 5","—",45.191507,-93.54856
"Roosevelt Library","http://www.hclib.org/about/locations/roosevelt","612-543-6700","4026 28th Ave. S.","Minneapolis",55406,"https://www.google.com/maps/place/Roosevelt+Library/@44.92968,-93.23247,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xb8640bae22e960a2","—","12 - 8","—","12 - 8","—","9 - 5","—",44.92968,-93.23247
"St. Anthony Library","http://www.hclib.org/about/locations/st-anthony","612-543-6075","2941 Pentagon Dr. N.E.","St. Anthony",55418,"https://www.google.com/maps/place/St.+Anthony+Library/@45.016018,-93.219051,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x72b56be2d033ff8e?hl=en","12 - 8","12 - 8","9 - 5","9 - 5","9 - 5","9 - 5","—",45.016018,-93.219051
"St. Bonifacius Library","http://www.hclib.org/about/locations/st-bonifacius","612-543-6100","8624 Kennedy Memorial Dr.","St. Bonifacius",55375,"https://www.google.com/maps/place/St.+Bonifacius+Library/@44.904149,-93.743416,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0xa111347560ff7bd0","12 - 8","—","12 - 8","—","—","9 - 5","—",44.904149,-93.743416
"St. Louis Park Library","http://www.hclib.org/about/locations/st-louis-park","612-543-6125","3240 Library Lane","St. Louis Park",55426,"https://www.google.com/maps/place/St.+Louis+Park+Library/@44.944427,-93.369704,17z/data=!3m1!4b1!4m2!3m1!1s0x0:0x47dda41767cd2e10","9 - 8","9 - 8","9 - 5","9 - 8","9 - 5","9 - 5","12 - 5",44.944427,-93.369704
